Simulation started at 11/10/2025 3:50:10 PM.
No.    PC    Instruction     A  SZYHXPNC  B  C  D  E  H  L  IX   IY   SP   A' SZYHXPNC' B' C' D' E' H' L'

184    0462  CP 3FH          04 10111011  05 FF 00 04 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
185    0464  JR Z,+4         04 10111011  05 FF 00 04 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
186    0466  JR +4           04 10111011  05 FF 00 04 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
187    046A  RET             04 10111011  05 FF 00 04 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
188    0473  LD (HL),B       04 10111011  05 FF 00 04 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
189    0474  POP BC          04 10111011  04 FF 00 04 10 02 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
190    0475  RET             04 10111011  04 FF 00 04 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
191    045B  POP DE          04 10111011  04 FF FF FF 10 02 FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
192    045C  POP HL          04 10111011  04 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
193    045D  RET             04 10111011  04 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
194    040E  INC A           05 00101001  04 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
195    040F  INC B           05 00101001  05 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
196    0410  CP 46H          05 10111011  05 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
197    0412  JR Z,+4         05 10111011  05 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
198    0414  JR -9           05 10111011  05 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
199    040B  CALL 044BH      05 10111011  05 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
200    044B  PUSH HL         05 10111011  05 FF FF FF FF FF FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
201    044C  PUSH DE         05 10111011  05 FF FF FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
202    044D  LD D,00H        05 10111011  05 FF 00 FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
203    044F  LD HL,1002H     05 10111011  05 FF 00 FF 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
204    0452  LD E,(HL)       05 10111011  05 FF 00 05 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
205    0453  LD HL,1004H     05 10111011  05 FF 00 05 10 04 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
206    0456  ADD HL,DE       05 10101000  05 FF 00 05 10 09 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
207    0457  LD (HL),B       05 10101000  05 FF 00 05 10 09 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
208    0458  CALL 046BH      05 10101000  05 FF 00 05 10 09 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
209    046B  PUSH BC         05 10101000  05 FF 00 05 10 09 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
210    046C  LD HL,1002H     05 10101000  05 FF 00 05 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
211    046F  LD B,(HL)       05 10101000  05 FF 00 05 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
